iter	Logloss
0	0.6812185244
1	0.6737987466
2	0.6635254718
3	0.6561757462
4	0.6486699105
5	0.6415353091
6	0.6345235144
7	0.6294184304
8	0.6236042376
9	0.6196836776
10	0.6163613465
11	0.6106656934
12	0.6075064143
13	0.6020751644
14	0.5990189495
15	0.5962902291
16	0.5944912939
17	0.5926202633
18	0.5913167997
19	0.5891540046
20	0.5870886
21	0.5840867812
22	0.5815649896
23	0.5783890652
24	0.5751062813
25	0.5723868532
26	0.5700911792
27	0.5677157976
28	0.5648277253
29	0.5630620073
30	0.5610354303
31	0.559416511
32	0.5580045567
33	0.555759533
34	0.5527543348
35	0.5505351632
36	0.5489200553
37	0.5477179585
38	0.5455423811
39	0.5442747313
40	0.5428529722
41	0.5416308393
42	0.5389090891
43	0.5379394915
44	0.5362235014
45	0.5344658986
46	0.5328069223
47	0.5311204999
48	0.530271595
49	0.5293833553
50	0.5277406717
51	0.5263341804
52	0.5258581076
53	0.5256886571
54	0.5249941492
55	0.5232827991
56	0.5221290666
57	0.5208356847
58	0.5195149092
59	0.5163295406
60	0.5155422581
61	0.5142547832
62	0.5125897454
63	0.5104532227
64	0.5098727139
65	0.5079391662
66	0.5069709419
67	0.5047498374
68	0.5034050645
69	0.5034034401
70	0.502157199
71	0.5010743383
72	0.5002586675
73	0.4992089962
74	0.4971195846
75	0.4967590856
76	0.495955808
77	0.494503965
78	0.4938730444
79	0.4937146887
80	0.4926556905
81	0.4910620357
82	0.489957771
83	0.4885210827
84	0.4875491437
85	0.4863679557
86	0.4855405922
87	0.4847732631
88	0.4834703967
89	0.4823167695
90	0.4817919455
91	0.4807383028
92	0.4795940975
93	0.4790431282
94	0.4772962077
95	0.4772353621
96	0.4765531465
97	0.4752393706
98	0.4739689305
99	0.473028735
100	0.4720424794
101	0.4707223574
102	0.4690070324
103	0.4677831064
104	0.4667323991
105	0.4660765962
106	0.4656862094
107	0.4643725265
108	0.4628053599
109	0.4615283425
110	0.4605238833
111	0.4598117168
112	0.4585247152
113	0.457843989
114	0.4566329816
115	0.456442721
116	0.4555227218
117	0.455261256
118	0.4550036876
119	0.4540979266
120	0.4539308326
121	0.4530400797
122	0.4516506314
123	0.451101048
124	0.4494808315
125	0.4490475203
126	0.4486131579
127	0.4480164733
128	0.4475204165
129	0.446524526
130	0.4456958657
131	0.4451982481
132	0.4444513354
133	0.4432865205
134	0.4423425306
135	0.4416134804
136	0.4410820509
137	0.4401451789
138	0.4391724253
139	0.4388125144
140	0.4376808723
141	0.4359741834
142	0.4351406083
143	0.4344691812
144	0.4338315187
145	0.43295261
146	0.4323614475
147	0.432041542
148	0.431305023
149	0.4310243807
150	0.4301852697
151	0.4287135333
152	0.4284443323
153	0.427290148
154	0.4263257206
155	0.4255554418
156	0.4250215579
157	0.4243467215
158	0.4239133765
159	0.4232466615
160	0.4213194547
161	0.4209344891
162	0.4202407798
163	0.41983271
164	0.4195066065
165	0.4190157427
166	0.418696161
167	0.4176314819
168	0.4170621115
169	0.4164120551
170	0.4149963083
171	0.4145877092
172	0.4143198375
173	0.4137270241
174	0.413636441
175	0.4125240168
176	0.4114476116
177	0.410928858
178	0.4094479427
179	0.4090408907
180	0.4085624772
181	0.4081565712
182	0.4063925193
183	0.405554454
184	0.4050234177
185	0.4047919053
186	0.4038527033
187	0.4031770992
188	0.402825137
189	0.4019046237
190	0.4013276224
191	0.4010088845
192	0.3994557605
193	0.3992876759
194	0.3980934773
195	0.3974529135
196	0.3971293804
197	0.3963820697
198	0.3957933662
199	0.3950224067
200	0.3940267299
201	0.3934015817
202	0.3915954373
203	0.3914029123
204	0.3911580343
205	0.3901353852
206	0.389230112
207	0.3888647029
208	0.3884628409
209	0.3878635087
210	0.3868234825
211	0.3859193733
212	0.3857153759
213	0.3852222009
214	0.3850809571
215	0.3844146321
216	0.3840251954
217	0.3830104465
218	0.3816720341
219	0.3815408235
220	0.3814407453
221	0.3810067624
222	0.3805482086
223	0.3793719367
224	0.378295394
225	0.3779047415
226	0.3776587732
227	0.3768361441
228	0.3758957482
229	0.3752057732
230	0.3746020051
231	0.3734381196
232	0.3729404842
233	0.3727720136
234	0.3725124431
235	0.3722562116
236	0.3720744746
237	0.3712737096
238	0.3709814044
239	0.3706872544
240	0.3699340363
241	0.3692727239
242	0.3687733396
243	0.3681259598
244	0.3675104922
245	0.367310576
246	0.3670941336
247	0.3661314902
248	0.3654318542
249	0.3648932946
250	0.3644105451
251	0.364231793
252	0.3636422606
253	0.3624076152
254	0.3615717141
255	0.3608583491
256	0.3605578228
257	0.3593238731
258	0.3580267
259	0.3570791886
260	0.3566110675
261	0.356301738
262	0.3557083019
263	0.3547850431
264	0.3537832735
265	0.3536822042
266	0.3532277699
267	0.3520485408
268	0.3512299526
269	0.3511655044
270	0.3508764806
271	0.3499611447
272	0.3496497014
273	0.3486847622
274	0.3478797001
275	0.3470314943
276	0.34599472
277	0.3458025615
278	0.3457874263
279	0.3455274134
280	0.3448182977
281	0.3439052358
282	0.3431829103
283	0.3429164303
284	0.3425681215
285	0.3414380262
286	0.3408923635
287	0.340544661
288	0.3404363203
289	0.339640119
290	0.3391708416
291	0.3390062304
292	0.3389931812
293	0.3380959911
294	0.3373260104
295	0.3367133676
296	0.3363733603
297	0.3362395681
298	0.3352621249
299	0.3341116475
